NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
SE4cap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NuclearSweden	SE4	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE4	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE4	-	-			
Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GasUdland	SE4	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	SE4	-	-			
Hydro-Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROR	SE4	-	No_RoR			
Hydro-turbine	349	348.2	347.4	346.6	345.8	345	345	345	345	345	345	345.4	345.8	346.2	346.6	347	347.4	347.8	348.2	348.6	349	HydroRes	SE4	-	-			
Hydro-pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroPumpOL	SE4	-	-			
Wind-on-shore	2476.131678	2408.185542	2340.239407	2272.293271	2204.347136	2136.401	2211.8496	2287.2982	2362.7468	2438.1954	2513.644	2671.3796	2829.1152	2986.8508	3144.5864	3302.322	3460.0576	3617.7932	3775.5288	3933.2644	4091	Wind	SE4	-	WL_SE4			
Wind-off-shore	0	52.42532	104.85064	157.27596	209.70128	262.1266	286.0909	310.0552	334.0195	357.9838	381.9481	419.75329	457.55848	495.36367	533.16886	570.97405	608.77924	646.58443	684.38962	722.19481	760	Wind	SE4	-	WS_SE4			
Solar-PV	270.0000107	340.2504886	410.5009664	480.7514443	551.0019221	621.2524	704.54912	787.84584	871.14256	954.43928	1037.736	1123.9624	1210.1888	1296.4152	1382.6416	1468.868	1555.0944	1641.3208	1727.5472	1813.7736	1900	Solar	SE4	-	PV_SE4			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	SE4	-	PV_SE4			
Other_RES	630.4285889	642.5206711	654.6127533	666.7048355	678.7969178	690.889	701.889	712.889	723.889	734.889	745.889	741.4001	736.9112	732.4223	727.9334	723.4445	718.9556	714.4667	709.9778	705.4889	701	MustRun	SE4	-	OtherRes_SE4			
Othernon-RES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OtherNONRE	SE4	-	ICHP			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	SE4	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	SE4	-	-			
DSR	0	42.12	84.24	126.36	168.48	210.6	221.4	232.2	243	253.8	264.6	238.14	211.68	185.22	158.76	132.3	105.84	79.38	52.92	26.46	0	DSR	SE4	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	75.6	151.2	226.8	302.4	378	453.6	529.2	604.8	680.4	756	Battery	SE4	-	-			
ReservesSE4	-545	-446	-347	-248	-149	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	-50	RS	SE4	-	-			
																												
FIcap_MAF20_2025_MAF20_2030_T20_NT2040																												
FIcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	4384	4386	4388	4390	4392	4394	4394	4394	4394	4394	4394	4323.6	4253.2	4182.8	4112.4	4042	3971.6	3901.2	3830.8	3760.4	3690	NuclearFinland	FI	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	FI	-	-			
Hard_Coal	820.5220052	799.8376042	779.1532031	758.4688021	737.784401	717.1	614.9	512.7	410.5	308.3	206.1	259.19	312.28	365.37	418.46	471.55	524.64	577.73	630.82	683.91	737	KulUdland	FI	-	-			
Gas	1193	1184	1175	1166	1157	1148	1101.2	1054.4	1007.6	960.8	914	883.1	852.2	821.3	790.4	759.5	728.6	697.7	666.8	635.9	605	GasUdland	FI	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	FI	-	-			
Hydro-Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROR	FI	-	No_RoR			
Hydro-turbine	3200	3199.9996	3199.9992	3199.9988	3199.9984	3199.998	3199.998	3199.998	3199.998	3199.998	3199.998	3199.9982	3199.9984	3199.9986	3199.9988	3199.999	3199.9992	3199.9994	3199.9996	3199.9998	3200	HydroRes	FI	-	-			
Hydro-pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroPumpOL	FI	-	-			
Wind-on-shore	3079.999924	3835.760939	4591.521954	5347.282969	6103.043985	6858.805	7866.205	8873.605	9881.005	10888.405	11895.805	12167.1245	12438.444	12709.7635	12981.083	13252.4025	13523.722	13795.0415	14066.361	14337.6805	14609	Wind	FI	-	WL_FI			
Wind-off-shore	41.99999943	41.99999955	41.99999966	41.99999977	41.99999989	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	Wind	FI	-	WS_FI			
Solar-PV	219.9999932	267.9999946	315.9999959	363.9999973	411.9999986	460	544	628	712	796	880	952	1024	1096	1168	1240	1312	1384	1456	1528	1600	Solar	FI	-	PV_FI			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	FI	-	PV_FI			
Other_RES	2511	2565.4	2619.8	2674.2	2728.6	2783	2783	2783	2783	2783	2783	2809	2835	2861	2887	2913	2939	2965	2991	3017	3043	MustRun	FI	-	OtherRes_FI			
Othernon-RES	320	931.4	1542.8	2154.2	2765.6	3377	3308.6	3240.2	3171.8	3103.4	3035	2912	2789	2666	2543	2420	2297	2174	2051	1928	1805	MustRun	FI	-	OtherNonRes_FI			
Biofuels	1463.477995	1406.562396	1349.646797	1292.731198	1235.815599	1178.9	1141.1	1103.3	1065.5	1027.7	989.9	890.91	791.92	692.93	593.94	494.95	395.96	296.97	197.98	98.99	0	Biofuels	FI	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	FI	-	-			
DSR	0	470	940	1410	1880	2350	2693.8	3037.6	3381.4	3725.2	4069	4517.1	4965.2	5413.3	5861.4	6309.5	6757.6	7205.7	7653.8	8101.9	8550	DSR	FI	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	190	380	570	760	950	1140	1330	1520	1710	1900	Battery	FI	-	-			
ReservesFI	-1640	-1652	-1664	-1676	-1688	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	-1700	RS	FI	-	-			
																												
DELUcap_MAF20_2025_MAF20_2030_T20_NT2040																												
DELUcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
