Information about parameters in run for file test.txt
Options: 
Simulation year: 2035
Climate year: 1985
TYNDP report: 2030
UsePlannedDownTime: True
UseUnplannedDownTime: True
demFlexKlassisk: 0.25
demFlexCVP: 0.95
demFlexPtX: 1
demFlexTransport: 0.2
Storebaelt2: False
oresundOpen: False
EnergyIslandEast: True
EnergyIslandWest: True
DK1
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
DSR	DSR_NL	700.0	70	0.05	0.25	48.0	0.0	-
Battery	Battery_NL	1737.5	173	0.05	0.2	48.0	0.0	-
ReservesNL	RS_NL	-1500.0	1	0.0	0.0	0.0	0.0	-
demandNL	demandNL	129.1469882283576	1	0	0	0	0	NLdemand


GB
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_GB	1966.97	1	0.0	0.0	0.0	0.0	HY_GB
Wind-on-shore	Wind_GB	15741.35721	1	0.0	0.0	0.0	0.0	WL_GB
Wind-off-shore	Wind_GB	29910.5	1	0.0	0.0	0.0	0.0	WS_GB
Solar-PV	Solar_GB	21161.515	1	0.0	0.0	0.0	0.0	PV_GB
Nuclear	NuclearGB_GB	11785.5	19	0.238	0.05	96.0	0.0	-
Hard_Coal	KulUdland_GB	1992.0	4	0.073972603	0.091666667	48.0	0.0	-
Gas	GasUdland_GB	37021.55	370	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_GB	371.0	7	0.073972603	0.093333333	48.0	0.0	-
Hydro-pump	HydroPumpCL_GB	3374.0	67	0.05	0.2	48.0	0.0	-
Other_RES	OtherRes_GB_GB	4700.2055	94	0.247573862	0.0	0.0	0.0	-
Othernon-RES	OtherNonRes_GB_GB	7432.327	148	0.074312303	0.0	0.0	0.0	-
Biofuels	Biofuels_GB	1992.0	39	0.073972603	0.091666667	48.0	0.0	-
DSR	DSR_GB	1961.0	196	0.05	0.25	48.0	0.0	-
Battery	Battery_GB	2335.0	233	0.05	0.2	48.0	0.0	-
ReservesGB	RS_GB	-3409.0	1	0.0	0.0	0.0	0.0	-
demandGB	demandGB	326.570201245294	1	0	0	0	0	GBdemand


FR
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_FR	13600.0	1	0.0	0.0	0.0	0.0	HY_FR
Hydro-turbine	HydroRes_FR	8200.182927	164	0.11	0.05	48.0	0.0	HYlimit_FR
Wind-on-shore	Wind_FR	47309.5	1	0.0	0.0	0.0	0.0	WL_FR
Wind-off-shore	Wind_FR	6931.5	1	0.0	0.0	0.0	0.0	WS_FR
Solar-PV	Solar_FR	48010.0	1	0.0	0.0	0.0	0.0	PV_FR
Othernon-RES	MustRun_FR	8616.5	1	0.0	0.0	0.0	0.0	OtherNonRes_FR
Nuclear	NuclearFR_FR	50671.0	46	0.223	0.05	96.0	0.0	-
Gas	GasUdland_FR	7066.5	70	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_FR	485.5	9	0.073972603	0.093333333	48.0	0.0	-
Hydro-pump	HydroPumpCL_FR	3942.5	78	0.05	0.2	48.0	0.0	-
Other_RES	OtherRes_FR_FR	2377.0	47	0.528834837	0.0	0.0	0.0	-
DSR	DSR_FR	5150.0	515	0.05	0.25	48.0	0.0	-
